p,Métrica,n,MAE (m),MAPE (%),RMSE (m),Viés médio (m),Tortuosidade média,Tortuosidade mediana
2.08,d_2.08,10000,2614.635021684238,24.182898976338283,3147.9133496615764,-2614.635021684238,1.356896356960785,1.2857518381172834
2.09,d_2.09,10000,2621.938046531194,24.247880005237036,3155.1835358473113,-2621.938046531194,1.358069703451962,1.287026478688852
2.1,d_2.1,10000,2629.14282456461,24.311978349164757,3162.3715935052246,-2629.14282456461,1.3592299546826183,1.2882735417895592
2.11,d_2.11,10000,2636.251127927893,24.375210002817695,3169.478663075901,-2636.251127927893,1.360377304155184,1.2896395563223035
2.12,d_2.12,10000,2643.264688573662,24.437590597394493,3176.505869657569,-2643.264688573662,1.3615119418360548,1.2906943379370417
2.13,d_2.13,10000,2650.1851993642276,24.499135410557948,3183.454323015351,-2650.1851993642276,1.3626340542320563,1.291671237956109
2.14,d_2.14,10000,2657.014315136719,24.559859376076773,3190.32511760917,-2657.014315136719,1.363743824465014,1.2927315751927102
2.15,d_2.15,10000,2663.753653734187,24.619777093159055,3197.1193326386447,-2663.753653734187,1.3648414323444888,1.2939845007672233
2.16,d_2.16,10000,2670.4047970037973,24.678902835487953,3203.8380321032973,-2670.4047970037973,1.3659270544386968,1.2950384424839405
2.17,d_2.17,10000,2676.9692917635543,24.73725055997227,3210.482264876878,-2676.9692917635543,1.3670008641437155,1.2961129856849722
2.18,d_2.18,10000,2683.448650738462,24.794833915220373,3217.053064794228,-2683.448650738462,1.368063031750974,1.297243692587791
2.19,d_2.19,10000,2689.844353467365,24.85166624974857,3223.5514507496077,-2689.844353467365,1.3691137245131013,1.2985693688721391
2.2,d_2.2,10000,2696.1578471814873,24.907760619933267,3229.978426805321,-2696.1578471814873,1.3701531067081698,1.2995416875404042
2.21,d_2.21,10000,2702.3905476556806,24.96312979771597,3236.334982309582,-2702.3905476556806,1.3711813397023793,1.3004668503352175
2.22,d_2.22,10000,2708.5438400333564,25.01778627807001,3242.6220920226606,-2708.5438400333564,1.3721985820112237,1.3014891747714565
2.23,d_2.23,10000,2714.6190796260616,25.071742286237697,3248.8407162504604,-2714.6190796260616,1.3732049893591816,1.3024357948399596
2.24,d_2.24,10000,2720.617592688567,25.12500978474569,3254.9918009846515,-2720.617592688567,1.3742007147379725,1.3034715608622507
2.25,d_2.25,10000,2726.540677170305,25.177600480206287,3261.076278048611,-2726.540677170305,1.3751859084634106,1.3045724039430344
2.26,d_2.26,10000,2732.389603444036,25.229525829912465,3267.0950652484917,-2732.389603444036,1.3761607182309001,1.3055029251791677
