p,n,MAE_m,MAPE_percent,RMSE_m,bias_m
3.38,10000,1273.3163458410324,29.273797873146062,1486.180378377707,-1273.3163122285875
3.39,10000,1273.9010344806138,29.287881008075356,1486.8234455471268,-1273.9010008773857
3.4,10000,1274.4804221538695,29.301838856107782,1487.461045637806,-1274.4803885595488
3.41,10000,1275.0545717324007,29.31567287914738,1488.0932397695042,-1275.0545381466884
3.42,10000,1275.623545170806,29.329384518035013,1488.7200882224693,-1275.6235115934132
3.43,10000,1276.1874035225374,29.3429751929096,1489.3416504510076,-1276.1873699531852
3.44,10000,1276.7462069554074,29.35644630356152,1489.9579850967718,-1276.7461733938267
3.45,10000,1277.3000147668251,29.36979922977983,1490.5691500018436,-1277.299981212755
3.46,10000,1277.8488853986914,29.383035331691765,1491.1752022215364,-1277.8488518518802
3.47,10000,1278.392876452022,29.396155950096027,1491.7761980369914,-1278.3928429122266
3.48,10000,1278.9320447012856,29.4091624067897,1492.3721929675442,-1278.932011168271
3.49,10000,1279.4664461084317,29.42205600488802,1492.963241782838,-1279.466412581971
3.5,10000,1279.9961358366936,29.43483802913906,1493.5493985147712,-1279.9961023165677
3.51,10000,1280.5211682640577,29.44750974623096,1494.1307164691618,-1280.5211347500544
3.52,10000,1281.0415969965202,29.460072405094166,1494.7072482372532,-1281.0415634884346
3.53,10000,1281.5574748810748,29.47252723719768,1495.279045707001,-1281.5574413787092
3.54,10000,1282.0688540184071,29.484875456838626,1495.8461600741143,-1282.0688205215708
3.55,10000,1282.575785775419,29.4971182614279,1496.4086418529787,-1282.575752283927
3.56,10000,1283.078320797435,29.509256831768727,1496.966540887301,-1283.0782873111086
3.57,10000,1283.5765090202347,29.521292332331107,1497.5199063606312,-1283.5764755389014
3.58,10000,1284.0703996817956,29.533225911519878,1498.068786806634,-1284.0703662052888
3.59,10000,1284.5600413338682,29.54505870193877,1498.6132301192351,-1284.560007862027
3.6,10000,1285.0454818532928,29.556791820648776,1499.1532835625517,-1285.0454483859614
3.61,10000,1285.5267684531138,29.56842636942177,1499.688993780659,-1285.526734990142
3.62,10000,1286.0039476934699,29.579963434989164,1500.2204068071712,-1286.003914234712
3.63,10000,1286.477065492305,29.59140408928643,1500.74756807468,-1286.4770320376208
3.64,10000,1286.9461671358415,29.602749389692228,1501.2705224239899,-1286.9461336850952
3.65,10000,1287.4112972888815,29.61400037926366,1501.7893141132224,-1287.4112638419424
3.66,10000,1287.8725000049126,29.625158086966984,1502.3039868267506,-1287.8724665616528
3.67,10000,1288.3298187360033,29.63622352790378,1502.8145836839647,-1288.3297852963012
3.68,10000,1288.7832963425512,29.64719770353344,1503.3211472479127,-1288.7832629062884
3.69,10000,1289.2329751027883,29.65808160189045,1503.8237195337392,-1289.23294166985
3.7,10000,1289.678896722192,29.66887619779938,1504.3223420170546,-1289.6788632924677
3.71,10000,1290.1211023426258,29.679582453083718,1504.8170556420619,-1290.1210689160087
3.72,10000,1290.5596325514039,29.690201316773056,1505.3079008296402,-1290.5595991277908
3.73,10000,1290.9945273901262,29.700733725304936,1505.7949174852236,-1290.994493969417
3.74,10000,1291.425826363372,29.711180602723687,1506.278145006565,-1291.4257929454702
3.75,10000,1291.8535684472151,29.721542860875,1506.757622291349,-1291.853535032028
3.76,10000,1292.2777920976332,29.731821399598175,1507.2333877447231,-1292.27775868507
3.77,10000,1292.6985352586885,29.742017106913266,1507.705479286626,-1292.6985018486625
3.78,10000,1293.1158353706405,29.75213085920647,1508.1739343590693,-1293.1158019630675
3.79,10000,1293.5297293778353,29.762163521410674,1508.638789933222,-1293.5296959726338
3.8,10000,1293.9402537365004,29.772115947183668,1509.1000825164201,-1293.9402203335917
3.81,10000,1294.3474444223782,29.781988979082847,1509.5578481590385,-1294.3474110216862
3.82,10000,1294.7513369382489,29.79178344873717,1510.0121224612728,-1294.7513035397
3.83,10000,1295.1519663212653,29.80150017701519,1510.4629405797546,-1295.1519329247888
3.84,10000,1295.5493671502027,29.81113997419078,1510.9103372340983,-1295.54933375573
3.85,10000,1295.943573552575,29.820703640106068,1511.354346713339,-1295.943540160039
3.86,10000,1296.334619211574,29.830191964330314,1511.7950028822086,-1296.3345858209113
3.87,10000,1296.722537372975,29.839605726317853,1512.2323391873963,-1296.722503984123
3.88,10000,1297.1073608518063,29.848945695560943,1512.6663886635931,-1297.1073274647058
3.89,10000,1297.489122039021,29.858212631742404,1513.0971839395556,-1297.4890886536134
3.9,10000,1297.8678529079348,29.867407284883118,1513.5247572439494,-1297.8678195241646
3.91,10000,1298.2435850206525,29.876530395489166,1513.949140411202,-1298.243551638465
3.92,10000,1298.616349534302,29.88558269469463,1514.3703648871772,-1298.6163161536451
3.93,10000,1298.986177207197,29.8945649044028,1514.7884617347904,-1298.9861438280202
3.94,10000,1299.353098404902,29.90347773742502,1515.2034616395472,-1299.3530650271564
3.95,10000,1299.7171431061483,29.912321897616394,1515.6153949149445,-1299.7171097297867
3.96,10000,1300.0783409086894,29.921098080009834,1516.0242915078222,-1300.0783075336658
3.97,10000,1300.4367210350447,29.92980697094777,1516.430181003625,-1300.4366876613149
3.98,10000,1300.7923123381183,29.938449248210908,1516.8330926315423,-1300.7922789656395
3.99,10000,1301.1451433067336,29.947025581145166,1517.2330552695864,-1301.1451099354647
4.0,10000,1301.4952420711084,29.955536630787083,1517.6300974496176,-1301.4952087010097
4.01,10000,1301.842636408174,29.9639830499859,1518.0242473622284,-1301.8426030392066
4.02,10000,1302.1873537468434,29.972365483524342,1518.4155328615882,-1302.1873203789698
4.03,10000,1302.529421173182,29.980684568237166,1518.8039814702029,-1302.5293878063665
4.04,10000,1302.8688654354762,29.988940933127488,1519.1896203835802,-1302.8688320696838
4.05,10000,1303.2057129492346,29.997135199481473,1519.572476474845,-1303.2056795844317
4.06,10000,1303.539989802089,30.005267980980804,1519.9525762992585,-1303.5399564382426
4.07,10000,1303.871721758621,30.013339883813433,1520.329946098678,-1303.8716883957002
4.08,10000,1304.200934265096,30.021351506782224,1520.704611805931,-1304.2009009030696
4.09,10000,1304.5276524541307,30.029303441412086,1521.0765990491363,-1304.5276190929696
4.1,10000,1304.8519011492772,30.037196272055205,1521.4459331559478,-1304.8518677889529
4.11,10000,1305.173704869517,30.045030575994215,1521.8126391577186,-1305.173671510002
4.12,10000,1305.4930878336977,30.052806923544097,1522.1767417936185,-1305.4930544749654
4.13,10000,1305.810073964892,30.0605258781522,1522.538265514679,-1305.8100406069163
4.14,10000,1306.1246868946628,30.06818799649634,1522.8972344877595,-1306.1246535374194
4.15,10000,1306.4369499672932,30.075793828581798,1523.2536725994767,-1306.4369166107576
4.16,10000,1306.7468862439111,30.083343917836224,1523.607603460048,-1306.74685288806
4.17,10000,1307.0545185065657,30.09083880120319,1523.9590504070861,-1307.0544851513769
4.18,10000,1307.3598692622365,30.098279009234385,1524.3080365093376,-1307.3598359076877
4.19,10000,1307.6629607467614,30.105665066179842,1524.6545845703479,-1307.6629273928322
4.2,10000,1307.9638149287127,30.11299749007707,1524.9987171320809,-1307.9637815753822
4.21,10000,1308.2624535132006,30.120276792838453,1525.3404564784728,-1308.2624201604492
4.22,10000,1308.5588979456343,30.127503480337726,1525.6798246389512,-1308.5588645934433
4.23,10000,1308.8531694153799,30.134678052494145,1526.0168433918582,-1308.8531360637312
4.24,10000,1309.1452888594142,30.14180100335641,1526.3515342678736,-1309.1452555082894
4.25,10000,1309.4352769658615,30.148872821184096,1526.6839185533295,-1309.4352436152435
4.26,10000,1309.723154177523,30.1558939885288,1527.0140172935241,-1309.7231208273952
4.27,10000,1310.0089406953089,30.16286498231313,1527.3418512959436,-1310.0089073456552
4.28,10000,1310.292656481639,30.169786273908922,1527.667441133455,-1310.292623132444
4.29,10000,1310.5743212637913,30.176658329214302,1527.9908071474604,-1310.5742879150398
4.3,10000,1310.8539545371618,30.183481608728723,1528.3119694509596,-1310.8539211888394
4.31,10000,1311.1315755685173,30.190256567627866,1528.6309479316176,-1311.13154222061
