origin,target,origin_x,origin_y,target_x,target_y,d_graph_m,d_L1_m,d_L1_25_m,d_L1_5_m,d_L1_54_m,d_L1_75_m,d_L2_m,d_L3_m,d_L5_m,d_L10_m,d_Linf_m,tortuosity_dG_dL2
1080993847,5156177953,286533.21466692473,7474382.310105313,287966.0419259261,7472273.31187003,3991.5182386539373,3541.8254942838685,3097.434049255532,2836.763777734884,2804.926801946402,2667.3850611273233,2549.6798839387775,2309.7346184960006,2166.793759060188,2113.375398725886,2108.998235282488,1.5654977959381275
1037248225,1040539300,285114.161145624,7474782.020113144,287430.6914811552,7470725.94034063,5284.967642839639,6372.610108045512,5599.72334834549,5152.177230404358,5098.029674811475,4866.036846807844,4670.984469727551,4293.752801670934,4104.217522582357,4057.574978363131,4056.079772514291,1.1314462030630343
1040638446,836871083,287766.4579586746,7471035.494460414,286879.64218312263,7475927.513788298,5960.0054552037545,5778.835103435558,5349.711023027877,5140.605902669436,5118.20672935771,5031.319681555762,4971.749724609496,4901.714203871569,4892.210846230804,4892.019346630992,4892.019327883609,1.1987742314747913
991364433,8984955527,289064.32379997865,7473255.260030933,287120.89714388805,7474973.849639293,2997.766980758421,3662.016264450678,3189.4730248501332,2909.2833629879246,2874.789598837801,2724.7121868484865,2594.312511931964,2315.5892975011716,2118.92823142227,1993.9270870267342,1943.4266560905962,1.1555149840163272
1040638372,993376259,287733.2502051648,7470670.262113223,287174.07493164804,7474339.429472119,4545.629178623418,4228.342632412503,3946.10312952378,3813.2893602393733,3799.3990521613428,3746.494581075264,3711.5315025065643,3673.4912613576366,3669.22768224198,3669.16736137531,3669.1673588957638,1.2247314014588182
994679415,8441772390,285730.8392247845,7474271.246231757,288612.2748566963,7475160.866783346,3933.880998524824,3771.0561835007393,3400.736368933127,3202.209766176061,3179.4818792052665,3086.5463094563065,3015.641892974088,2909.4294976144038,2883.0504795682796,2881.4378995106704,2881.435631911794,1.3044920909508755
998592452,914760064,289188.452505333,7472954.467308221,287543.58646406105,7476149.310115455,4913.165342245029,4839.708848505281,4267.769313881235,3939.799737206421,3900.4001562567773,3732.633715389122,3593.411311923562,3334.026576695801,3217.6299333065363,3195.260641721117,3194.8428072333336,1.3672705169993467
1037564613,1037553911,284880.14681839896,7473679.511851525,284998.5449252272,7472925.142039033,1104.4592894535865,872.7679193204967,813.4205998938847,785.3248185311038,782.3742939316656,771.101371189777,763.6045610786679,755.340737241075,754.3841806153347,754.3698131764907,754.3698124922812,1.4463759722616472
8277380488,1608050143,286714.24928932614,7476479.327302901,289277.4332321161,7471567.437660923,6528.857692029679,7475.073584767815,6588.507297363024,6079.433174982493,6018.217207609649,5757.3334689812855,5540.448698394886,5134.324198949061,4949.327775718292,4912.624609057405,4911.889641977847,1.1783987267892477
5219584378,1039425027,286959.6465385822,7475806.381148066,289095.15614870645,7470899.695600625,6024.557747585428,7042.1951575654675,6251.083449441139,5805.886663455318,5753.126348389684,5531.074536981387,5351.258203114637,5037.977453763574,4921.915157238082,4906.805186671749,4906.685547441244,1.1258207918427305
